,,Name,%,Price,Rating,Release,Ends,Started
,,"Machinika: Museum
Free To Keep
new historical low",-100%,"R$ 0,00",87.44%,Mar 2021,,
,,"ENDLESS™ Legend
Free To Keep
new historical low",-100%,"R$ 0,00",82.27%,Sep 2014,,
,,"100% Orange Juice
Free To Keep",-100%,"R$ 0,00",90.45%,Sep 2013,,
,,"Killing Floor 2
Play For Free
new historical low",-95%,"R$ 2,79",86.60%,Nov 2016,,
,,"Wizard with a Gun
Play For Free
new historical low",-50%,"R$ 29,99",78.19%,Oct 2023,,
,,"Lil Gator Game
Daily Deal
new historical low",-50%,"R$ 29,99",94.99%,Dec 2022,,
,,"Killing Floor
Weekend Deal
new historical low",-90%,"R$ 3,49",93.37%,May 2009,,
,,"The Forgotten City
Midweek Deal
new historical low",-65%,"R$ 25,89",93.25%,Jul 2021,,
,,"Poly Bridge 2
Midweek Deal
new historical low",-80%,"R$ 5,79",92.26%,May 2020,,
,,"Poly Bridge 3
Midweek Deal
new historical low",-68%,"R$ 35,07",90.54%,May 2023,,
,,"UNSIGHTED
Midweek Deal
new historical low",-60%,"R$ 19,99",88.83%,Sep 2021,,
,,"The Wild at Heart
Midweek Deal
new historical low",-60%,"R$ 18,99",88.76%,May 2021,,
,,"Broken Reality
Daily Deal
new historical low",-85%,"R$ 4,34",88.74%,Nov 2018,,
,,"CaseCracker
Daily Deal
new historical low",-50%,"R$ 10,34",88.73%,Dec 2022,,
,,"Paper Beast
Midweek Deal
new historical low",-75%,"R$ 11,49",88.01%,Jul 2020,,
,,"Blade of Darkness
Daily Deal
new historical low",-60%,"R$ 11,59",87.95%,Oct 2021,,
,,"The House of Da Vinci 3
Daily Deal
new historical low",-50%,"R$ 29,99",86.03%,Dec 2022,,
,,"Root
Daily Deal
new historical low",-60%,"R$ 11,59",86.02%,Sep 2020,,
,,"Archvale
Midweek Deal
new historical low",-50%,"R$ 22,49",85.35%,Dec 2021,,
,,"The Dungeon Of Naheulbeuk: The Amulet Of Chaos
Midweek Deal
new historical low",-70%,"R$ 21,89",85.01%,Sep 2020,,
,,"Foretales
Midweek Deal
new historical low",-50%,"R$ 22,99",82.13%,Sep 2022,,
,,"Trombone Champ
Daily Deal",-60%,"R$ 11,59",94.86%,Sep 2022,,
,,"Alba: A Wildlife Adventure
new historical low",-75%,"R$ 13,12",94.21%,Dec 2020,,
,,"Carto
Midweek Deal",-70%,"R$ 11,39",93.55%,Oct 2020,,
,,"Unpacking
Midweek Deal",-50%,"R$ 29,99",90.91%,Nov 2021,,
,,"One Step From Eden
Midweek Deal",-60%,"R$ 15,19",90.58%,Mar 2020,,
,,"OTXO
new historical low",-50%,"R$ 14,49",89.77%,Apr 2023,,
,,"Poly Bridge
Midweek Deal",-90%,"R$ 2,06",89.25%,Jul 2016,,
,,"Return to Monkey Island
new historical low",-50%,"R$ 36,99",89.23%,Sep 2022,,
,,"Wizard of Legend
Midweek Deal",-70%,"R$ 9,29",88.91%,May 2018,,
,,"Minecraft Dungeons
new historical low",-50%,"R$ 37,47",88.83%,Sep 2021,,
,,"Forager
Midweek Deal",-65%,"R$ 13,29",88.52%,Apr 2019,,
,,"Re: LieF ~ Shin'ainaru Anata e~
new historical low",-58%,"R$ 27,71",88.43%,Feb 2021,,
,,"Ring of Pain
Midweek Deal",-70%,"R$ 11,39",88.35%,Oct 2020,,
,,"Assassin's Creed® Odyssey
new historical low",-85%,"R$ 26,99",88.15%,Oct 2018,,
,,"Anarcute
Midweek Deal",-80%,"R$ 7,19",86.56%,Jul 2016,,
,,"Grand Theft Auto V
Top Seller
all-time low: R$ 23,82 at -78%",-65%,"R$ 38,63",86.33%,Apr 2015,—,
,,"Old School Musical
Midweek Deal",-75%,"R$ 7,99",86.19%,Sep 2018,,
,,"Ikenfell
Midweek Deal",-70%,"R$ 11,39",86.15%,Oct 2020,,
,,"Hell Pie
new historical low",-66%,"R$ 25,15",85.98%,Jul 2022,,
,,"Another Lost Phone: Laura's Story
Midweek Deal",-72%,"R$ 2,23",85.83%,Sep 2017,,
,,"Drug Dealer Simulator
Week Long Deal
new historical low",-87%,"R$ 4,93",85.66%,Apr 2020,,
,,"A Normal Lost Phone
Midweek Deal",-72%,"R$ 2,23",85.32%,Jan 2017,,
,,"The Crackpet Show
new historical low",-75%,"R$ 11,75",84.00%,Dec 2022,,
,,"Dungeon Village
new historical low",-63%,"R$ 6,87",82.83%,Mar 2022,,
,,"Vampires' Melody 2
new historical low",-50%,"R$ 6,89",82.52%,Sep 2023,,
,,"Cyberpunk 2077
Top Seller",-50%,"R$ 99,95",81.51%,Dec 2020,,
,,"A Hat in Time
Midweek Deal
all-time low: R$ 27,99 at -50%",-50%,"R$ 44,49",96.07%,Oct 2017,,
,,"Inscryption
all-time low: R$ 24,97 at -69%",-50%,"R$ 24,99",95.56%,Oct 2021,,
,,"American Truck Simulator
Weekend Deal
all-time low: R$ 7,74 at -94%",-75%,"R$ 15,49",95.51%,Feb 2016,,
,,"One Finger Death Punch
Week Long Deal
all-time low: R$ 1,69 at -80%",-78%,"R$ 1,86",95.38%,Mar 2014,,
,,Don't Starve,-75%,"R$ 5,17",95.30%,Apr 2013,,
,,Risk of Rain 2,-50%,"R$ 29,99",95.22%,Aug 2020,,
,,Sid Meier's Civilization® V,-75%,"R$ 11,24",94.97%,Sep 2010,,
,,"Vampires' Melody
all-time low: R$ 2,60 at -70%",-80%,"R$ 2,75",94.11%,Oct 2020,,
,,"Ultimate Chicken Horse
Midweek Deal
all-time low: R$ 12,03 at -57%",-65%,"R$ 15,74",93.93%,Mar 2016,,
,,Valheim,-50%,"R$ 18,99",93.82%,Feb 2021,,
,,My Friend Pedro,-75%,"R$ 14,99",93.64%,Jun 2019,,
,,月影魅像-解放之羽-,-65%,"R$ 23,09",93.52%,Jul 2019,,
,,Monster Prom 2: Monster Camp,-66%,"R$ 8,46",93.40%,Oct 2020,,
,,"One Finger Death Punch 2
Week Long Deal",-75%,"R$ 4,14",92.69%,Apr 2019,,
,,Marvel's Guardians of the Galaxy,-75%,"R$ 62,49",92.53%,Oct 2021,,
,,"ISLANDERS
Daily Deal
current 2-year low",-65%,"R$ 5,94",92.37%,Apr 2019,,
,,"Cities: Skylines
Weekend Deal
2-year low: R$ 17,79",-70%,"R$ 32,39",92.25%,Mar 2015,,
,,"Epistory - Typing Chronicles
Midweek Deal
2-year low: R$ 12,49",-70%,"R$ 12,89",91.66%,Mar 2016,,
,,Risk of Rain (2013),-80%,"R$ 3,99",91.50%,Nov 2013,,
,,Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,,
,,"Project Wingman
Midweek Deal
current 2-year low",-50%,"R$ 23,74",91.16%,Dec 2020,,
,,Death's Door,-75%,"R$ 14,99",91.15%,Jul 2021,,
,,"Thomas Was Alone
Week Long Deal",-80%,"R$ 3,39",91.00%,Nov 2012,,
,,The Messenger,-80%,"R$ 11,99",90.98%,Aug 2018,,
,,Dead Estate,-50%,"R$ 8,99",90.97%,Oct 2021,,
,,McPixel 3,-80%,"R$ 6,59",90.88%,Nov 2022,,
,,Spelunky 2,-50%,"R$ 18,99",90.82%,Sep 2020,,
,,Death Road to Canada,-75%,"R$ 6,99",90.30%,Jul 2016,,
,,"Crusader Kings III
Weekend Deal
2-year low: R$ 67,49",-60%,"R$ 71,99",90.21%,Sep 2020,,
,,"Victoria II
Weekend Deal
2-year low: R$ 6,99",-75%,"R$ 17,99",90.19%,Aug 2010,,
,,"Hearts of Iron IV
Weekend Deal
2-year low: R$ 23,74",-70%,"R$ 53,99",90.14%,Jun 2016,,
,,Evil Genius,-90%,"R$ 1,99",89.90%,Sep 2004,,
,,ΔV: Rings of Saturn,-50%,"R$ 10,34",89.39%,Jul 2023,,
,,Choice of Life: Middle Ages 2,-50%,"R$ 11,75",89.38%,Sep 2022,,
,,Sid Meier's Civilization® IV,-85%,"R$ 4,49",89.14%,Oct 2005,,
,,"Invisible, Inc.",-75%,"R$ 9,24",88.55%,May 2015,,
,,Slipways,-50%,"R$ 16,49",88.46%,Jun 2021,,
,,"Knights of Honor
Weekend Deal
2-year low: R$ 3,99",-75%,"R$ 8,99",88.39%,May 2005,,
,,Torchlight,-80%,"R$ 4,99",88.27%,Oct 2009,,
,,Lacuna – A Sci-Fi Noir Adventure,-80%,"R$ 6,19",88.21%,May 2021,,
